"name"	"description"	"price"	"shopId"
"Professional Woodworker Pneumatic Brad Nailer And Air Stapler Combo Tool Kit"	"Lorem ipsum amet tempor mattis duis ad id fringilla duis sit per habitant."	"858.34"	"82"
"Dewalt Dcf610s2r Drills / Drivers , Power Tools, N/a"	"Lorem ipsum libero aptent quam nisi luctus, id nunc nascetur inceptos duis."	"812.97"	"179"
"Ultra Steel 6v Cordless Drill"	"Lorem ipsum pulvinar tristique erat etiam cubilia placerat magnis at etiam congue aliquam quis."	"839.53"	"14"
"Ad Tech Hi-temp Project Pro Mini Size Glue Gun"	"Lorem ipsum enim augue penatibus maecenas elementum, vehicula turpis eu iaculis est parturient."	"411.84"	"16"
"Dremel Ez407sa-01 Ez Drum Mandrel"	"Lorem ipsum imperdiet non erat suscipit sit hac platea scelerisque laoreet tortor ultrices."	"80.22"	"40"
"Ingersoll Rand 80 Gallon Type-30 Reciprocating Air Compressor"	"Lorem ipsum donec ultrices faucibus commodo primis congue aliquet luctus consequat nisi."	"615.72"	"9"
"Stalwart Mouse Sander Set, Blue, 28pc"	"Lorem ipsum bibendum pharetra feugiat vitae torquent fames ultricies felis elit."	"112.11"	"81"
"Eclipse 900-066n 50w Soldering Station"	"Lorem ipsum vulputate nunc tincidunt odio netus ridiculus eget cubilia."	"999.01"	"44"
"Black & Decker 3-speed Rtx Rotary Tool With Bonus Spring Clamps, Rtx-6"	"Lorem ipsum tempus convallis amet nec lobortis risus mollis interdum at."	"507.25"	"193"
"Dremel 560 Drywall Cutting Bit"	"Lorem ipsum eget donec aliquet felis vivamus dolor arcu tempus curae;?"	"59.2"	"198"
"Hitachi 1 3/8"" 23 Gauge Pin Nailer"	"Lorem ipsum fusce lacinia conubia leo, elit lorem lacinia sagittis."	"201.07"	"137"
"Titan Master Drill & Bit 204pc Set W/4fold Cs"	"Lorem ipsum fames phasellus erat, mattis congue diam praesent ac diam."	"559.95"	"23"
"Black & Decker 160 Psi Air Station Inflator"	"Lorem ipsum facilisi enim pellentesque phasellus id iaculis egestas, duis nostra mus."	"294.08"	"148"
"Alpha Fry Am13460 Rosin Core Solder And Dispenser"	"Lorem ipsum nibh adipiscing dolor fames congue pretium venenatis scelerisque?"	"152.15"	"200"
"Hitachi 83-piece Drill And Driver Bit Set"	"Lorem ipsum vestibulum eleifend turpis hac dictum quis ridiculus eros consectetur."	"495.53"	"47"
"Dremel 4200 Rotary Tool With Ez Change, 4200-6/40"	"Lorem ipsum id varius feugiat dictumst congue neque turpis eros mattis."	"38.11"	"20"
"Ad Tech Hi-temp Project Pro Mini Size Glue Gun"	"Lorem ipsum quis vestibulum fames cras mauris rutrum accumsan eleifend varius magna."	"84.08"	"81"
"Black And Decker Pivot Screwdriver, Pd400lg"	"Lorem ipsum fringilla, nulla lacus himenaeos feugiat libero venenatis nunc eros curae; proin."	"296.7"	"97"
"Hitachi 0.63 Hammer Drill 6.0 Amp"	"Lorem ipsum in velit ultrices turpis maecenas nam felis phasellus proin himenaeos!"	"503.48"	"99"
"Black & Decker 9.6v - 24v Multi Battery Charger"	"Lorem ipsum blandit vel pharetra congue hac lacus blandit dapibus etiam!"	"370.84"	"45"
"Bostitch 18v Lithium 1/2"" Drill/driver Kit, Btc400lb"	"Lorem ipsum tincidunt dignissim praesent dui dui a lacus metus sociis ad."	"486.1"	"13"
"Skil 5480-01 7-1/4-inch Skilsaw Circular Saw"	"Lorem ipsum consectetur phasellus, vitae vestibulum diam vestibulum taciti nibh mauris nascetur."	"133.92"	"104"
"Eclipse Pz2x1-15/16 Bit Pozidrive Size 2 1-15/16in Long 1/4in Hex"	"Lorem ipsum leo ad velit pretium curabitur ultrices justo pretium."	"902.46"	"28"
"Hot Glue Gun Helpers Kit-7 Pieces"	"Lorem ipsum dis tristique mattis natoque integer purus faucibus semper accumsan est natoque."	"897.87"	"115"
"Wen 5.2 Amp Electric Pole Saw"	"Lorem ipsum nostra potenti nisi, libero quisque eros vestibulum metus sed."	"371.93"	"4"
"Fry Technologies Cookson Elect Am33505 50/50 Solder Solid Wire"	"Lorem ipsum parturient aliquet porttitor interdum curae; nunc lacinia vehicula."	"703.47"	"51"
"Swisher 28 Ton 8.75 Gross Torque Log Splitter, Lsrb875281350"	"Lorem ipsum ipsum morbi sollicitudin lacus odio odio ullamcorper class conubia."	"38.08"	"116"
"Lincoln Industrial Grease Gun Cordless With Case"	"Lorem ipsum nullam hac mollis auctor nec turpis dictumst turpis morbi curae; nisl."	"241.79"	"10"
"Legacy Manufacturing Leghfz3850yw2 Flexzilla 3/8in X 50yd Yellow Air Hose With 1/4 Inch Mnpt Ends"	"Lorem ipsum laoreet vivamus nostra morbi fringilla aptent eu eleifend venenatis."	"811.2"	"11"
"Weller Welwes51 Analog Soldering Station With Power Unit, Soldering Pencil, Stand And Sponge"	"Lorem ipsum condimentum luctus egestas quisque ultricies conubia curae; suscipit dis, cubilia fames id."	"796.15"	"91"
"Wagner Heat Gun Kit, Ht1100"	"Lorem ipsum himenaeos felis nam; netus massa sed cubilia venenatis tincidunt ridiculus viverra!"	"811.75"	"151"
"Bostitch Air Regulator And Gauge, Npt, #iregulator"	"Lorem ipsum mattis justo leo pharetra vestibulum pharetra tristique turpis leo nisi vel dui."	"664.9"	"16"
"Professional Woodworker 7390 Multifunction Tool With 4 Accessories"	"Lorem ipsum phasellus primis mattis vitae a pellentesque nullam purus scelerisque elit eu nostra."	"709.78"	"197"
"Wagner Ht1000 Heat Tool"	"Lorem ipsum accumsan fames aliquam integer felis adipiscing tempor tortor eros magna condimentum ante!"	"628.27"	"153"
"Porter Cable 371k Compact Belt Sander"	"Lorem ipsum id condimentum, turpis congue inceptos fusce ullamcorper facilisi?"	"149.01"	"61"
"Aaa 300psi Air Compressor"	"Lorem ipsum blandit nec ridiculus mi suscipit nascetur convallis turpis pulvinar suspendisse."	"155.89"	"177"
"Black & Decker 17-piece Workbench Drill Bit Set, 15097"	"Lorem ipsum neque pharetra platea fames eu semper ante ullamcorper?"	"468.43"	"157"
"Bosch Power Tools 2 Amp 1/4 Sheet Palm Sander 7292-01"	"Lorem ipsum parturient feugiat lacinia montes diam dapibus vestibulum litora commodo sem justo neque."	"216.85"	"94"
"Bostitch 6 Amp Orbital Jig Saw, Bte340k"	"Lorem ipsum primis magna id molestie molestie accumsan vivamus integer dapibus sagittis felis tempor."	"489.96"	"85"
"Dremel 225-01 Flex Shaft"	"Lorem ipsum consequat convallis curae; metus aliquam sagittis placerat sagittis molestie diam."	"750.63"	"46"
"Wagner Ht1000 Heat Tool Wagner Ht1000 Heat Tool"	"Lorem ipsum rutrum leo facilisis penatibus cursus conubia torquent class sed rutrum est."	"227.82"	"126"
"Bostitch .5"" Vsr 2-speed Hammerdrill/drill, Bte140k"	"Lorem ipsum fusce volutpat tortor platea ridiculus sodales id sociis nibh aliquet penatibus eget!"	"84.32"	"146"
"Skil 10 Count U Shank Jigsaw Blade Set 94910"	"Lorem ipsum metus sociosqu quis massa augue non aliquam litora per libero."	"993.05"	"24"
"Fry Technologies Cookson Elect Am32406 General Purpose Acid Core Solder"	"Lorem ipsum volutpat eget per in libero dui tellus varius diam."	"840.74"	"147"
"High-temp Cordless Glue Gun, White"	"Lorem ipsum mattis egestas leo justo aenean aptent aptent mus arcu natoque."	"516.48"	"142"
"Irwin 7-piece Drive Set, 1885553"	"Lorem ipsum nisi primis fringilla volutpat convallis nullam scelerisque ultrices per?"	"171.95"	"134"
"Lincoln Industrial Fully Automatic Pneumatic Grease Gun"	"Lorem ipsum neque nam nullam leo adipiscing ac vel pellentesque lacus magna aliquam rhoncus?"	"393.74"	"103"
"Pentagon Tools 3/8 300psi Heavy Duty Retractable 100 Foot Air Hose & Reel Professional Grade"	"Lorem ipsum phasellus elit feugiat luctus facilisi senectus eleifend ac interdum."	"473.91"	"70"
"Skil 2364-02 7.2-volt Lithium-ion 2-speed Drill/driver"	"Lorem ipsum vestibulum platea velit felis faucibus aenean sodales euismod pulvinar ligula."	"368.05"	"137"
"Rockwell Shopseries 4.3 Amp Belt/disk Sander"	"Lorem ipsum fringilla adipiscing nec donec porttitor dis urna etiam aenean lectus."	"90.61"	"155"
"Hitachi 4 1/2"" 5 Amp Angle Grinder"	"Lorem ipsum semper sagittis maecenas suspendisse placerat quam tempus vitae inceptos."	"709.5"	"106"
"Skil 1400-02 Multi-tasker 2.0a Oscillating Tool Kit"	"Lorem ipsum at scelerisque tellus, ultricies taciti cras volutpat cum."	"899.89"	"78"
"Professional Woodworker 18 Gauge Brad Nailer With 2-gallon 100 Psi Twin Stack Compressor Combo Kit"	"Lorem ipsum volutpat commodo dis sagittis interdum dignissim donec a sociosqu."	"224.25"	"12"
